service_id;date;exception_type
810;20240102;1
810;20240103;1
810;20240104;1
10;20240104;1
810;20240105;1
10;20240105;1
9;20240106;1
7;20240107;1
104;20240108;1
10304;20240108;1
104;20240109;1
10304;20240109;1
3;20240110;1
10304;20240110;1
104;20240111;1
10304;20240111;1
4;20240111;1
104;20240112;1
10304;20240112;1
4;20240112;1
9;20240113;1
7;20240114;1
104;20240115;1
10304;20240115;1
104;20240116;1
10304;20240116;1
3;20240117;1
10304;20240117;1
104;20240118;1
10304;20240118;1
4;20240118;1
104;20240119;1
10304;20240119;1
4;20240119;1
9;20240120;1
7;20240121;1
104;20240122;1
10304;20240122;1
104;20240123;1
10304;20240123;1
3;20240124;1
10304;20240124;1
104;20240125;1
10304;20240125;1
4;20240125;1
104;20240126;1
10304;20240126;1
4;20240126;1
9;20240127;1
7;20240128;1
104;20240129;1
10304;20240129;1
104;20240130;1
10304;20240130;1
3;20240131;1
10304;20240131;1
104;20240201;1
10304;20240201;1
4;20240201;1
104;20240202;1
10304;20240202;1
4;20240202;1
9;20240203;1
7;20240204;1
104;20240205;1
10304;20240205;1
104;20240206;1
10304;20240206;1
3;20240207;1
10304;20240207;1
104;20240208;1
10304;20240208;1
4;20240208;1
104;20240209;1
10304;20240209;1
4;20240209;1
9;20240210;1
7;20240211;1
104;20240212;1
10304;20240212;1
104;20240213;1
10304;20240213;1
3;20240214;1
10304;20240214;1
104;20240215;1
10304;20240215;1
4;20240215;1
104;20240216;1
10304;20240216;1
4;20240216;1
9;20240217;1
7;20240218;1
104;20240219;1
10304;20240219;1
104;20240220;1
10304;20240220;1
3;20240221;1
10304;20240221;1
104;20240222;1
10304;20240222;1
4;20240222;1
104;20240223;1
10304;20240223;1
4;20240223;1
9;20240224;1
7;20240225;1
810;20240226;1
810;20240227;1
810;20240228;1
810;20240229;1
10;20240229;1
810;20240301;1
10;20240301;1
9;20240302;1
7;20240303;1
810;20240304;1
810;20240305;1
810;20240306;1
810;20240307;1
10;20240307;1
810;20240308;1
10;20240308;1
9;20240309;1
7;20240310;1
104;20240311;1
10304;20240311;1
104;20240312;1
10304;20240312;1
3;20240313;1
10304;20240313;1
104;20240314;1
10304;20240314;1
4;20240314;1
104;20240315;1
10304;20240315;1
4;20240315;1
9;20240316;1
7;20240317;1
104;20240318;1
10304;20240318;1
104;20240319;1
10304;20240319;1
3;20240320;1
10304;20240320;1
104;20240321;1
10304;20240321;1
4;20240321;1
104;20240322;1
10304;20240322;1
4;20240322;1
9;20240323;1
7;20240324;1
104;20240325;1
10304;20240325;1
104;20240326;1
10304;20240326;1
3;20240327;1
10304;20240327;1
104;20240328;1
10304;20240328;1
4;20240328;1
104;20240329;1
10304;20240329;1
4;20240329;1
9;20240330;1
7;20240331;1
7;20240401;1
104;20240402;1
10304;20240402;1
3;20240403;1
10304;20240403;1
104;20240404;1
10304;20240404;1
4;20240404;1
104;20240405;1
10304;20240405;1
4;20240405;1
9;20240406;1
7;20240407;1
104;20240408;1
10304;20240408;1
104;20240409;1
10304;20240409;1
3;20240410;1
10304;20240410;1
104;20240411;1
10304;20240411;1
4;20240411;1
104;20240412;1
10304;20240412;1
4;20240412;1
9;20240413;1
7;20240414;1
104;20240415;1
10304;20240415;1
104;20240416;1
10304;20240416;1
3;20240417;1
10304;20240417;1
104;20240418;1
10304;20240418;1
4;20240418;1
104;20240419;1
10304;20240419;1
4;20240419;1
9;20240420;1
7;20240421;1
810;20240422;1
810;20240423;1
810;20240424;1
810;20240425;1
10;20240425;1
810;20240426;1
10;20240426;1
9;20240427;1
7;20240428;1
810;20240429;1
810;20240430;1
810;20240502;1
10;20240502;1
810;20240503;1
10;20240503;1
9;20240504;1
7;20240505;1
104;20240506;1
10304;20240506;1
104;20240507;1
10304;20240507;1
7;20240508;1
7;20240509;1
810;20240510;1
10;20240510;1
9;20240511;1
7;20240512;1
104;20240513;1
10304;20240513;1
104;20240514;1
10304;20240514;1
3;20240515;1
10304;20240515;1
104;20240516;1
10304;20240516;1
4;20240516;1
104;20240517;1
10304;20240517;1
4;20240517;1
9;20240518;1
7;20240519;1
7;20240520;1
104;20240521;1
10304;20240521;1
3;20240522;1
10304;20240522;1
104;20240523;1
10304;20240523;1
4;20240523;1
104;20240524;1
10304;20240524;1
4;20240524;1
9;20240525;1
7;20240526;1
104;20240527;1
10304;20240527;1
104;20240528;1
10304;20240528;1
3;20240529;1
10304;20240529;1
104;20240530;1
10304;20240530;1
4;20240530;1
104;20240531;1
10304;20240531;1
4;20240531;1
